question,response_id,sentence,avg_similarity,max_similarity,is_hallucinated,key_entities
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,0,The historical figure most commonly associated with causing World War I is Kaiser Wilhelm II of Germany,0.444,0.918,False,"['Germany', 'The', 'World War', 'Kaiser Wilhelm']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,0,"However, it's essential to note that multiple factors contributed to the outbreak of the war",0.426,0.785,False,['However']
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,0,"Reasons for the war include:

- Assassination of Archduke Franz Ferdinand, which triggered a chain reaction of events leading to the assassination of Austria-Hungary's heir",0.489,0.757,False,"['Assassination', 'Austria', 'Archduke Franz Ferdinand', 'Reasons', 'Hungary']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,0,"- Complex system of alliances and entangling obligations between European nations, including the Triple Entente (France, Britain, Russia) and the Central Powers (Germany, Austria-Hungary, Italy)",0.423,0.826,False,"['Austria', 'European', 'Complex', 'Central Powers', 'Hungary', 'Russia', 'Germany', 'Britain', 'France', 'Italy', 'Triple Entente']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,0,"- Imperialism, competition for colonies and resources, and nationalist tensions among European powers",0.431,0.694,False,"['European', 'Imperialism']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,0,"- Economic rivalries, particularly the role of Germany's industrial and military advancements",0.463,0.681,False,"['Economic', 'Germany']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,0,These factors ultimately led to a complex web of alliances and conflicts that culminated in the outbreak of World War I,0.508,0.794,False,"['World War', 'These']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,1,It was Kaiser Wilhelm II of Germany who is often seen as a primary cause of World War I,0.448,0.918,False,"['It', 'Germany', 'Kaiser Wilhelm', 'World War']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,1,"His aggressive expansionist policies and nationalism led to tensions with other European powers, particularly Britain and France",0.416,0.67,False,"['His', 'European', 'France', 'Britain']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,1,"Some key reasons include:

- Imperialism: Germany's attempts to expand its colonial empire in Africa and Asia, which involved competition with Britain",0.42,0.759,False,"['Some', 'Africa', 'Asia', 'Germany', 'Britain', 'Imperialism']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,1,"- Militarism: Increased military spending and rearmament by Germany, which created an arms race with other nations",0.422,0.681,False,"['Militarism', 'Germany', 'Increased']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,1,"- Diplomatic tensions: Disputes over the Triple Entente (France, Britain, and Russia) and the Quadruple Alliance (Germany, Austria-Hungary, Italy, and Ottoman Empire), including the sinking of German ships by British warships in the Black Sea",0.403,0.652,False,"['Diplomatic', 'Austria', 'Disputes', 'German', 'British', 'Hungary', 'Russia', 'Germany', 'Ottoman Empire', 'Britain', 'France', 'Black Sea', 'Italy', 'Triple Entente', 'Quadruple Alliance']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,1,- Nationalism: Germany's desire to assert its dominance on European politics and its willingness to use military force to achieve its goals,0.416,0.596,False,"['European', 'Germany', 'Nationalism']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,1,These factors contributed to the outbreak of World War I,0.522,0.794,False,"['World War', 'These']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,2,"The historical figure responsible for World War I is Archduke Franz Ferdinand, the heir to the Austro-Hungarian throne",0.343,0.697,False,"['World War', 'Archduke Franz Ferdinand', 'Hungarian', 'Austro', 'The']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,2,"The main reasons leading to his assassination and subsequent war include:

* Nationalism: The complex system of alliances and nationalist tensions between European powers created an atmosphere conducive to conflict",0.423,0.688,False,"['European', 'The', 'Nationalism']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,2,"* Imperialism: Britain's desire to expand its empire in Africa and Asia fueled rivalry with other powers, including Germany",0.49,0.759,False,"['Africa', 'Asia', 'Germany', 'Britain', 'Imperialism']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,2,* Militarism: Austria-Hungary's aggressive military build-up and German support for the Austro-Hungarian Empire contributed to the outbreak of war,0.492,0.661,False,"['Austria', 'Militarism', 'German', 'Hungary', 'Hungarian Empire', 'Austro']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,2,"* Alliances: The complex web of alliances between European powers, including the Triple Entente (France, Britain, Russia) and the Central Powers (Germany, Austria-Hungary), created a situation in which a small conflict could quickly escalate into a larger war",0.537,0.826,False,"['Alliances', 'Austria', 'European', 'Central Powers', 'Hungary', 'Russia', 'Germany', 'The', 'Britain', 'France', 'Triple Entente']"
Who is the historical figure that is responsible for world war 1? What are the reasons for the same?,2,"These factors ultimately led to the assassination of Archduke Franz Ferdinand on June 28, 1914, and the subsequent chain reaction of events that resulted in World War I",0.398,0.757,False,"['June', 'World War', 'Archduke Franz Ferdinand', '28', 'These', '1914']"
